INFO  | 04/09/2020 11:58:03 AM | File run_exp.py           | Line 26    | Writing log file to exp/GRAN\GRANMixtureBernoulli_transport_2020-Apr-09-11-58-03_23440\log_exp_23440.txt
INFO  | 04/09/2020 11:58:03 AM | File run_exp.py           | Line 27    | Exp instance id = 23440
INFO  | 04/09/2020 11:58:03 AM | File run_exp.py           | Line 28    | Exp comment = None
INFO  | 04/09/2020 11:58:03 AM | File run_exp.py           | Line 29    | Config =
INFO  | 04/09/2020 11:58:03 AM | File gran_runner.py       | Line 139   | Train/val/test = 8/2/2
INFO  | 04/09/2020 11:58:03 AM | File gran_runner.py       | Line 152   | No Edges vs. Edges in training set = 2.0
INFO  | 04/09/2020 11:58:06 AM | File gran_runner.py       | Line 282   | NLL Loss @ epoch 0001 iteration 00000001 = 4.8420939445495605
INFO  | 04/09/2020 11:58:08 AM | File gran_runner.py       | Line 282   | NLL Loss @ epoch 0002 iteration 00000010 = 4.79403018951416
INFO  | 04/09/2020 11:58:09 AM | File gran_runner.py       | Line 282   | NLL Loss @ epoch 0003 iteration 00000020 = 4.744490623474121
INFO  | 04/09/2020 11:58:11 AM | File gran_runner.py       | Line 282   | NLL Loss @ epoch 0004 iteration 00000030 = 4.69325065612793
INFO  | 04/09/2020 11:58:13 AM | File gran_runner.py       | Line 282   | NLL Loss @ epoch 0005 iteration 00000040 = 4.632118225097656
INFO  | 04/09/2020 11:58:15 AM | File gran_runner.py       | Line 282   | NLL Loss @ epoch 0007 iteration 00000050 = 4.561650276184082
INFO  | 04/09/2020 11:58:17 AM | File gran_runner.py       | Line 282   | NLL Loss @ epoch 0008 iteration 00000060 = 4.478838920593262
